location,bedrooms,bath,size,price
"EastManiknagar,Maniknagar,Dhaka",3,3,1300,6600000
"EastManiknagar,Maniknagar,Dhaka",3,3,1300,6600000
"Narinda,Sutrapur,Dhaka",12,10,3500,13000000
"AbdulAzizLane,Lalbagh,Dhaka",2,1,1260,32500000
"KhalifaGhat,Kamrangirchar,Dhaka",3,3,3600,48400000
"Bochila,Mohammadpur,Dhaka",6,6,2545,101000000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"EastRampura,Rampura,Dhaka",3,3,1100,6800000
"EastRampura,Rampura,Dhaka",2,2,950,5000000
"Pirerbag,Mirpur,Dhaka",4,3,1900,10000000
"Pirerbag,Mirpur,Dhaka",3,3,1400,8200000
"SouthMonipur,Mirpur,Dhaka",3,3,1250,6500000
"Pirerbag,Mirpur,Dhaka",3,3,1000,4000000
"BlockJ,BashundharaR-A,Dhaka",3,4,1695,13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,1695,13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,1695,13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,1695,13500000
